Machine_ID,Temperature,Run_Time,Downtime_Flag
Machine_10,98,96,0
Machine_1,88,139,0
Machine_9,74,95,0
Machine_8,67,156,0
Machine_7,80,189,1
Machine_10,98,190,1
Machine_7,78,153,1
Machine_5,82,160,0
Machine_5,70,153,0
Machine_5,70,109,0
Machine_1,83,149,1
Machine_8,95,117,1
Machine_1,99,182,1
Machine_4,83,169,1
Machine_9,62,86,0
Machine_9,81,121,0
Machine_5,61,176,0
Machine_4,83,155,1
Machine_3,89,141,0
Machine_3,97,80,1
Machine_5,61,171,0
Machine_10,80,186,1
Machine_1,92,100,0
Machine_5,71,78,0
Machine_6,81,89,0
Machine_7,84,90,0
Machine_9,86,60,0
Machine_3,87,200,0
Machine_2,75,50,0
Machine_3,74,95,0
Machine_9,62,150,0
Machine_7,96,198,1
Machine_9,66,139,0
Machine_2,80,159,0
Machine_5,68,106,0
Machine_4,98,50,0
Machine_2,77,112,1
Machine_9,63,104,0
Machine_9,84,164,0
Machine_6,73,192,1
Machine_6,68,198,0
Machine_8,85,102,1
Machine_6,61,186,0
Machine_1,79,106,1
Machine_4,87,166,0
Machine_7,66,84,0
Machine_2,67,112,0
Machine_9,94,74,0
Machine_8,73,139,0
Machine_8,76,124,0
Machine_7,95,87,0
Machine_4,99,179,1
Machine_2,63,184,0
Machine_3,61,140,0
Machine_6,65,66,0
Machine_5,63,177,0
Machine_8,88,157,0
Machine_6,77,74,0
Machine_6,85,137,1
Machine_1,93,78,0
Machine_4,69,112,0
Machine_5,95,199,1
Machine_3,73,163,0
Machine_9,90,98,0
Machine_1,74,130,0
Machine_6,67,133,0
Machine_6,73,154,0
Machine_10,82,197,1
Machine_5,99,167,1
Machine_5,80,135,0
Machine_10,75,112,1
Machine_5,77,153,0
Machine_6,83,98,1
Machine_8,85,120,0
Machine_2,84,50,0
Machine_6,100,190,1
Machine_1,88,172,1
Machine_4,74,111,0
Machine_10,60,81,0
Machine_3,84,78,0
Machine_9,66,98,0
Machine_3,68,79,0
Machine_6,83,193,1
Machine_1,60,68,0
Machine_6,67,67,0
Machine_4,83,50,0
Machine_8,70,127,0
Machine_9,76,164,1
Machine_4,67,162,0
Machine_10,94,163,0
Machine_10,94,112,1
Machine_6,92,181,1
Machine_1,64,178,0
Machine_4,98,57,0
Machine_7,100,104,0
Machine_1,87,152,0
Machine_8,66,180,0
Machine_10,68,81,0
Machine_6,67,59,0
Machine_5,71,159,1
Machine_10,93,173,0
Machine_9,92,136,1
Machine_2,82,104,0
Machine_5,83,81,0
Machine_6,96,184,1
Machine_7,94,142,1
Machine_5,99,57,0
Machine_9,81,114,1
Machine_1,86,106,0
Machine_7,94,116,0
Machine_10,60,121,0
Machine_7,94,103,0
Machine_4,96,116,1
Machine_9,73,100,0
Machine_5,62,146,0
Machine_4,60,141,0
Machine_7,64,57,0
Machine_4,85,84,0
Machine_3,73,145,0
Machine_9,98,137,1
Machine_8,86,127,1
Machine_1,68,81,0
Machine_7,74,169,0
Machine_9,74,95,0
Machine_8,85,193,1
Machine_8,72,191,0
Machine_6,91,104,1
Machine_4,98,56,0
Machine_8,91,123,1
Machine_3,63,56,0
Machine_9,89,200,1
Machine_2,96,134,0
Machine_2,82,196,1
Machine_7,98,161,0
Machine_10,74,174,0
Machine_4,88,196,1
Machine_10,95,85,0
Machine_8,72,78,0
Machine_9,91,131,1
Machine_7,66,51,0
Machine_5,81,178,0
Machine_8,87,96,0
Machine_4,61,197,0
Machine_2,65,60,0
Machine_6,87,179,0
Machine_9,87,168,0
Machine_1,79,189,1
Machine_10,89,69,0
Machine_7,70,54,0
Machine_10,87,86,0
Machine_9,84,186,1
Machine_10,98,102,1
Machine_9,92,148,1
Machine_10,60,135,0
Machine_3,86,157,0
Machine_5,72,73,0
Machine_8,100,130,0
Machine_8,62,169,0
Machine_4,98,108,1
Machine_1,65,177,0
Machine_1,67,163,0
Machine_4,86,164,1
Machine_6,68,63,0
Machine_8,96,58,0
Machine_6,92,89,0
Machine_9,83,74,0
Machine_9,74,152,0
Machine_2,91,71,0
Machine_10,91,53,0
Machine_1,83,78,0
Machine_2,100,158,1
Machine_5,71,147,0
Machine_4,98,86,1
Machine_4,61,124,0
Machine_9,62,119,0
Machine_8,96,195,1
Machine_6,76,177,0
Machine_1,61,134,0
Machine_2,61,91,0
Machine_6,87,149,0
Machine_2,82,90,0
Machine_10,96,83,0
Machine_5,91,66,0
Machine_5,92,171,0
Machine_6,60,125,0
Machine_6,78,136,0
Machine_6,61,166,0
Machine_2,85,155,1
Machine_10,91,135,0
Machine_3,65,76,0
Machine_6,91,106,0
Machine_8,63,80,0
Machine_1,70,183,0
Machine_1,76,147,0
Machine_2,97,61,0
Machine_6,83,102,0
Machine_9,64,187,0
Machine_4,93,194,1
Machine_3,65,171,0
Machine_8,81,95,1
Machine_10,70,113,0
Machine_9,75,179,0
Machine_5,92,103,1
Machine_9,68,156,0
Machine_2,65,100,0
Machine_3,75,85,0
Machine_7,88,164,0
Machine_7,62,75,0
Machine_6,79,78,0
Machine_6,95,198,1
Machine_2,78,60,0
Machine_10,85,89,0
Machine_6,62,60,0
Machine_4,78,162,0
Machine_3,79,88,0
Machine_2,91,103,0
Machine_1,66,147,1
Machine_5,100,104,0
Machine_2,92,160,1
Machine_2,99,199,1
Machine_7,98,118,1
Machine_8,77,105,0
Machine_10,99,82,0
Machine_8,60,85,0
Machine_4,70,197,1
Machine_1,87,130,1
Machine_7,84,158,1
Machine_1,82,122,0
Machine_4,90,89,0
Machine_8,89,66,0
Machine_2,94,178,0
Machine_6,66,110,0
Machine_6,75,153,1
Machine_9,85,91,0
Machine_5,61,74,0
Machine_10,60,88,0
Machine_4,71,84,1
Machine_5,64,180,1
Machine_10,96,157,1
Machine_5,91,151,1
Machine_8,68,147,0
Machine_10,100,61,0
Machine_8,94,68,0
Machine_2,78,150,0
Machine_7,75,93,0
Machine_8,62,98,0
Machine_6,79,66,0
Machine_5,83,123,0
Machine_9,92,106,0
Machine_3,83,104,0
Machine_10,70,96,0
Machine_4,67,61,0
Machine_9,95,111,1
Machine_6,97,129,1
Machine_8,99,132,0
Machine_7,79,57,0
Machine_2,94,198,1
Machine_3,84,130,0
Machine_1,94,167,1
Machine_9,84,74,0
Machine_7,88,138,1
Machine_1,77,61,1
Machine_3,77,192,0
Machine_4,61,108,0
Machine_4,94,158,0
Machine_5,75,75,0
Machine_3,100,96,0
Machine_3,95,81,0
Machine_1,92,59,0
Machine_7,63,65,0
Machine_10,92,194,1
Machine_1,73,200,1
Machine_2,80,75,0
Machine_4,79,135,0
Machine_4,67,184,0
Machine_5,66,63,0
Machine_2,62,128,0
Machine_4,76,166,0
Machine_1,92,56,0
Machine_2,71,186,0
Machine_1,81,164,0
Machine_10,81,121,0
Machine_10,89,108,0
Machine_4,97,131,1
Machine_4,97,165,0
Machine_7,67,195,0
Machine_10,86,152,0
Machine_9,86,66,0
Machine_9,93,63,0
Machine_5,80,157,0
Machine_10,89,94,0
Machine_1,92,147,1
Machine_1,87,180,0
Machine_6,92,86,0
Machine_2,64,157,0
Machine_8,78,88,0
Machine_9,63,64,0
Machine_4,94,169,1
Machine_5,76,53,0
Machine_8,87,142,0
Machine_3,89,190,1
Machine_5,88,65,0
Machine_3,65,157,0
Machine_10,94,175,1
Machine_3,100,104,0
Machine_3,96,83,0
Machine_7,83,62,0
Machine_7,88,190,0
Machine_7,90,67,0
Machine_10,94,145,0
Machine_8,92,172,1
Machine_5,80,88,0
Machine_5,91,95,0
Machine_4,82,78,0
Machine_7,92,111,1
Machine_10,62,65,0
Machine_4,77,170,1
Machine_2,84,59,0
Machine_4,90,152,1
Machine_8,62,133,0
Machine_9,99,182,1
Machine_3,83,114,0
Machine_7,91,52,0
Machine_9,81,191,0
Machine_4,82,169,1
Machine_10,61,117,0
Machine_3,86,195,0
Machine_5,61,86,0
Machine_1,85,122,0
Machine_3,76,192,0
Machine_8,99,98,0
Machine_8,92,170,0
Machine_4,68,137,0
Machine_2,98,189,1
Machine_8,88,86,1
Machine_8,85,110,0
Machine_10,94,173,1
Machine_4,84,88,0
Machine_3,83,112,0
Machine_2,72,95,0
Machine_9,66,137,0
Machine_1,95,60,0
Machine_7,79,111,0
Machine_5,60,126,0
Machine_8,67,101,0
Machine_4,75,53,0
Machine_7,73,108,0
Machine_5,71,121,1
Machine_5,82,197,1
Machine_9,74,142,0
Machine_9,87,112,1
Machine_9,93,103,1
Machine_6,61,166,0
Machine_6,91,159,0
Machine_5,82,123,0
Machine_9,81,156,0
Machine_10,84,106,0
Machine_8,81,52,0
Machine_7,81,169,1
Machine_7,65,55,0
Machine_6,74,54,0
Machine_5,96,54,0
Machine_4,92,103,1
Machine_3,67,96,0
Machine_3,64,58,0
Machine_6,98,148,1
Machine_4,63,69,0
Machine_6,65,171,0
Machine_3,91,110,1
Machine_4,89,172,1
Machine_9,94,131,0
Machine_5,99,111,0
Machine_7,75,194,0
Machine_10,72,52,0
Machine_2,89,62,0
Machine_5,78,169,0
Machine_9,76,174,0
Machine_3,78,138,1
Machine_9,87,122,0
Machine_6,85,117,1
Machine_4,96,191,1
Machine_7,85,150,0
Machine_8,82,147,0
Machine_6,68,60,0
Machine_5,71,154,1
Machine_6,60,116,0
Machine_5,60,172,0
Machine_8,93,78,0
Machine_1,91,186,1
Machine_7,84,125,1
Machine_10,99,58,0
Machine_10,60,89,0
Machine_2,75,74,1
Machine_9,98,54,0
Machine_1,64,188,1
Machine_10,81,173,0
Machine_6,88,87,0
Machine_9,62,121,0
Machine_1,71,182,0
Machine_4,85,139,1
Machine_4,75,195,0
Machine_9,96,86,0
Machine_5,81,109,0
Machine_5,88,77,0
Machine_6,73,130,0
Machine_1,87,163,0
